id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,logic,requirements
14,02.01. XOR,,,nc ctf.neimark-it.ru 20201,,0,25,Криптография,standard,visible,any,
15,01.01. Фибоначчи,,,nc ctf.neimark-it.ru 20101,,0,25,Криптография,standard,visible,any,
16,01.02. Умножение,,,nc ctf.neimark-it.ru 20102,,0,50,Криптография,standard,visible,any,
17,01.03. Квадратное,"Информация:
* [sagemath sqrt](https://doc.sagemath.org/html/en/reference/finite_rings/sage/rings/finite_rings/integer_mod.html#sage.rings.finite_rings.integer_mod.IntegerMod_abstract.sqrt)",,nc ctf.neimark-it.ru 20103,,0,75,Криптография,standard,visible,any,
19,02.02. XOR 2,,,nc ctf.neimark-it.ru 20202,,0,35,Криптография,standard,visible,any,
20,02.03. ECBCBCWTF,Альтернативный сервер: [https://aes.cryptohack.org/ecbcbcwtf/](https://aes.cryptohack.org/ecbcbcwtf/),,http://ctf.neimark-it.ru:20203/,,0,40,Криптография,standard,visible,any,
21,03.01. Метаданные,,,,,0,10,Стеганография,standard,visible,any,
22,03.02. book of secrets,"уцуцуга, пароль надо перебирать",,,,0,60,Стеганография,standard,visible,any,
23,03.03. Не метаданные,,,,,0,15,Стеганография,standard,visible,any,
24,03.04. Аудио,,,,,0,15,Стеганография,standard,visible,any,
25,03.05. invisible lsb,см. zsteg,,,,0,20,Стеганография,standard,visible,any,
26,03.06. snow,,,,,0,20,Стеганография,standard,visible,any,
27,03.07. lirili larila,,,,,0,50,Стеганография,standard,visible,any,
28,03.08. zero width,,,,,0,30,Стеганография,standard,visible,any,
29,03.09. no flag,,,,,0,40,Стеганография,standard,visible,any,
30,03.10. lsb,,,,,0,70,Стеганография,standard,visible,any,
31,01.04. LCG,,,nc ctf.neimark-it.ru 20104,,0,60,Криптография,standard,visible,any,
32,01.05. Обратное,,,nc ctf.neimark-it.ru 20105,,0,35,Криптография,standard,visible,any,
33,01.06. Сложение,,,nc ctf.neimark-it.ru 20106,,0,30,Криптография,standard,visible,any,
